epoch,batch,loss,accuracy,precision,recall,f1_score,timestamp
2,10,2.031894,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:33 2024
2,11,2.066618,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:33 2024
2,12,2.016928,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:33 2024
2,13,2.020455,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:33 2024
2,14,2.035269,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:34 2024
2,15,2.018419,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:34 2024
2,16,2.029412,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:34 2024
2,17,1.984724,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:34 2024
2,18,2.025230,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:35 2024
2,19,2.020411,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:35 2024
2,20,1.969096,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:35 2024
2,21,1.998271,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:35 2024
2,22,1.993321,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:36 2024
2,23,1.960826,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:36 2024
2,24,1.932399,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:36 2024
2,25,1.977245,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:36 2024
2,26,1.966867,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:37 2024
2,27,1.958219,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:37 2024
2,28,1.943926,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:37 2024
2,29,1.960409,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:37 2024
2,30,1.940340,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:38 2024
2,31,1.914744,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:38 2024
2,32,1.933054,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:38 2024
2,33,1.973538,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:38 2024
2,34,1.908723,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:39 2024
2,35,1.926315,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:39 2024
2,36,1.887155,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:39 2024
2,37,1.889555,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:39 2024
2,38,1.886747,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:40 2024
2,39,1.886621,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:40 2024
2,40,1.912748,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:40 2024
2,41,1.852736,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:40 2024
2,42,1.882143,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:41 2024
2,43,1.843707,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:41 2024
2,44,1.857257,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:41 2024
2,45,1.849316,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:41 2024
2,46,1.854462,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:42 2024
2,47,1.853348,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:42 2024
2,48,1.841333,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:42 2024
2,49,1.839431,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:42 2024
2,50,1.779861,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:43 2024
2,51,1.853319,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:43 2024
2,52,1.771313,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:43 2024
2,53,1.782074,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:43 2024
2,54,1.812181,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:44 2024
2,55,1.821953,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:44 2024
2,56,1.719948,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:44 2024
2,57,1.739075,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:44 2024
2,58,1.786807,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:45 2024
2,59,1.732495,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:45 2024
2,60,1.748035,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:45 2024
2,61,1.740512,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:45 2024
2,62,1.752639,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:46 2024
2,63,1.777366,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:46 2024
2,64,1.747047,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:46 2024
2,65,1.748409,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:46 2024
2,66,1.730408,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:47 2024
2,67,1.757727,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:47 2024
2,68,1.723726,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:47 2024
2,69,1.675510,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:48 2024
2,70,1.665817,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:48 2024
2,71,1.775721,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:48 2024
2,-1,1.676810,0.705000,0.705000,0.705000,0.705000,Thu Oct 24 01:30:49 2024
3,1,1.706076,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:49 2024
3,2,1.645712,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:49 2024
3,3,1.644638,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:49 2024
3,4,1.699211,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:50 2024
3,5,1.644825,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:50 2024
3,6,1.725979,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:50 2024
3,7,1.583740,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:51 2024
3,8,1.616066,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:51 2024
3,9,1.655336,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:51 2024
3,10,1.685779,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:51 2024
3,11,1.611736,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:52 2024
3,12,1.539056,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:52 2024
3,13,1.640656,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:52 2024
3,14,1.639807,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:52 2024
3,15,1.579131,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:53 2024
3,16,1.522536,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:53 2024
3,17,1.561595,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:53 2024
3,18,1.583570,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:53 2024
3,19,1.551262,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:53 2024
3,20,1.524186,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:54 2024
3,21,1.543999,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:54 2024
3,22,1.563237,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:54 2024
3,23,1.560727,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:55 2024
3,24,1.525478,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:55 2024
3,25,1.581923,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:55 2024
3,26,1.517937,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:55 2024
3,27,1.511299,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:56 2024
3,28,1.473649,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:56 2024
3,29,1.533781,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:56 2024
3,30,1.599271,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:56 2024
3,31,1.416779,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:57 2024
3,32,1.467849,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:57 2024
3,33,1.551188,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:57 2024
3,34,1.560633,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:57 2024
3,35,1.424800,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:58 2024
3,36,1.477715,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:58 2024
3,37,1.443791,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:58 2024
3,38,1.474318,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:58 2024
3,39,1.496008,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:59 2024
3,40,1.468484,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:59 2024
3,41,1.451875,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:59 2024
3,42,1.419493,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:59 2024
3,43,1.376081,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:31:00 2024
3,44,1.408102,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:31:00 2024
3,45,1.419753,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:31:00 2024
3,46,1.459150,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:31:01 2024
3,47,1.433202,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:31:01 2024
3,48,1.398993,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:31:01 2024
3,49,1.394375,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:31:01 2024
3,50,1.396117,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:31:01 2024
3,51,1.447735,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:31:02 2024
3,52,1.412150,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:31:02 2024
3,53,1.421562,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:31:02 2024
3,54,1.364521,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:31:02 2024
3,55,1.407625,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:31:03 2024
3,56,1.329070,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:31:03 2024
3,57,1.351984,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:31:04 2024
3,58,1.339011,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:31:04 2024
3,59,1.382815,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:31:04 2024
